model_key,model_name,state,row_count,mae,rmse,median_absolute_error
svr,Support Vector Regression,w.p. putrajaya,6,5.146827321982381,5.6959904918186695,5.608998321530166
svr,Support Vector Regression,perlis,6,3.882034499112564,4.929553696766157,2.7765329597387023
svr,Support Vector Regression,w.p. labuan,6,3.526950427702836,3.7616674775026233,3.220229662275351
svr,Support Vector Regression,pulau pinang,6,2.8623625718462,3.1985045841366992,2.591955348251858
svr,Support Vector Regression,johor,6,2.037952704871917,2.64664311018432,1.5099847467184515
svr,Support Vector Regression,sabah,6,1.9192864747385936,2.095015578742636,1.4466912494277224
svr,Support Vector Regression,w.p. kuala lumpur,6,1.7694898950940872,2.0752222633884605,1.2516087966242535
svr,Support Vector Regression,negeri sembilan,6,1.634679106536422,1.9784307154148952,1.55441455183459
svr,Support Vector Regression,kelantan,6,1.59551931832182,1.6963643635022492,1.80257945012373
svr,Support Vector Regression,perak,6,1.2221704583324329,1.7021151917399673,0.9029967127523192
svr,Support Vector Regression,pahang,6,1.2149159883529446,1.4879317348658443,1.092096169712164
svr,Support Vector Regression,terengganu,6,1.2056916494044547,1.6482585303891184,0.7686437313057866
svr,Support Vector Regression,selangor,6,1.19407326838837,1.6094643452448496,0.6060879096457299
svr,Support Vector Regression,kedah,6,1.1322875667886525,1.4549672438264507,1.1298907091856734
svr,Support Vector Regression,sarawak,6,1.071060593368955,1.3212599374258878,0.8746337159600941
svr,Support Vector Regression,melaka,6,0.967842941475304,1.2553858095071069,0.9654735713764212
rf,RandomForestRegressor,W.P. Putrajaya,6,6.57382036356222,6.924692013877149,7.039838482775728
rf,RandomForestRegressor,Perlis,6,5.092527940324881,5.61557010226718,3.8333669325077366
rf,RandomForestRegressor,Pulau Pinang,6,3.746140042871685,4.064720435107384,3.404791396925951
rf,RandomForestRegressor,Negeri Sembilan,6,3.712658618752661,4.511376833254651,2.8610417731194744
rf,RandomForestRegressor,Sabah,6,3.5875305161299806,3.82603874583909,3.0826366046468223
rf,RandomForestRegressor,W.P. Labuan,6,3.497352038714169,4.0434146475961885,3.74592374793329
rf,RandomForestRegressor,Perak,6,3.3554692435929545,4.300677474433326,2.1927775591068226
rf,RandomForestRegressor,Melaka,6,2.904663815183857,3.1085939230694564,2.962761803197239
rf,RandomForestRegressor,Kedah,6,2.7126805203465687,2.94167633114866,2.96621012608324
rf,RandomForestRegressor,Selangor,6,2.6885356792818413,3.4527112838696468,1.4271393985530594
rf,RandomForestRegressor,Sarawak,6,2.644482093466562,2.994101893223664,2.435712557553167
rf,RandomForestRegressor,Johor,6,2.533295190913767,3.0802076736943222,2.3339259587885195
rf,RandomForestRegressor,Terengganu,6,2.5130306996039216,2.861592629307243,1.9641755213175216
rf,RandomForestRegressor,Pahang,6,2.2283547757822646,2.6569039334158178,1.974671661666889
rf,RandomForestRegressor,Kelantan,6,2.149902858158084,2.4162938687902917,2.2271749038136903
rf,RandomForestRegressor,W.P. Kuala Lumpur,6,0.9310649410529236,1.1995959569614818,0.5783302485332129
