Model Name,Tolerance Metric,Percentage
selected_svr,Within 1pp Percentage,33.33333333333333
historical_state_stage_sex_mean_baseline,Within 1pp Percentage,26.041666666666668
training_mean_baseline,Within 1pp Percentage,12.5
stage_sex_mean_baseline,Within 1pp Percentage,19.791666666666664
rolling2_completion_mean_baseline,Within 1pp Percentage,27.083333333333332
ridge_autoregressive_plus_categorical_standard_alpha100.0,Within 1pp Percentage,13.541666666666666
persistence_baseline,Within 1pp Percentage,33.33333333333333
previous_year_trend_baseline,Within 1pp Percentage,14.583333333333334
selected_svr,Within 2pp Percentage,63.541666666666664
historical_state_stage_sex_mean_baseline,Within 2pp Percentage,51.041666666666664
training_mean_baseline,Within 2pp Percentage,38.54166666666667
stage_sex_mean_baseline,Within 2pp Percentage,35.41666666666667
rolling2_completion_mean_baseline,Within 2pp Percentage,52.083333333333336
ridge_autoregressive_plus_categorical_standard_alpha100.0,Within 2pp Percentage,33.33333333333333
persistence_baseline,Within 2pp Percentage,53.125
previous_year_trend_baseline,Within 2pp Percentage,29.166666666666668
selected_svr,Within 5pp Percentage,91.66666666666666
historical_state_stage_sex_mean_baseline,Within 5pp Percentage,83.33333333333334
training_mean_baseline,Within 5pp Percentage,86.45833333333334
stage_sex_mean_baseline,Within 5pp Percentage,86.45833333333334
rolling2_completion_mean_baseline,Within 5pp Percentage,82.29166666666666
ridge_autoregressive_plus_categorical_standard_alpha100.0,Within 5pp Percentage,85.41666666666666
persistence_baseline,Within 5pp Percentage,85.41666666666666
previous_year_trend_baseline,Within 5pp Percentage,64.58333333333334
